Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
53265,6989050,HR387630,06/21/2009 09:21:40 PM,088XX S BURLEY AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,424,4.0,7.0,46.0,18,1199206.0,1846940.0,2009,02/28/2018 03:56:25 PM,41.734811534,-87.545773817,"(41.734811534, -87.545773817)"
53266,12678005,JF216604,01/16/2022 09:00:00 AM,061XX N SEELEY AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,2413,24.0,40.0,2.0,11,1161552.0,1940595.0,2022,04/25/2022 04:51:22 PM,41.992672556,-87.681115005,"(41.992672556, -87.681115005)"
53267,12710489,JF256076,05/26/2022 08:30:00 AM,049XX W ADAMS ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1533,15.0,28.0,25.0,08B,1143642.0,1898881.0,2022,06/02/2022 04:48:46 PM,41.878560762,-87.748042277,"(41.878560762, -87.748042277)"
53268,2507969,HH851085,12/20/2002 08:46:26 PM,026XX N HOYNE AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,True,False,1913,19.0,1.0,7.0,26,1162362.0,1917661.0,2002,02/28/2018 03:56:25 PM,41.929723607,-87.678779951,"(41.929723607, -87.678779951)"
53269,3125371,HK113975,01/08/2004 07:30:00 PM,045XX S LAWLER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,False,814,8.0,23.0,56.0,08B,1143453.0,1874164.0,2004,02/28/2018 03:56:25 PM,41.810737392,-87.749353374,"(41.810737392, -87.749353374)"
53270,2115722,HH353508,05/01/2002 01:00:00 PM,052XX S JUSTINE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,932,9.0,16.0,61.0,14,1166892.0,1870024.0,2002,02/28/2018 03:56:25 PM,41.798907521,-87.66349933,"(41.798907521, -87.66349933)"
53271,2223312,HH476655,06/29/2002 08:40:00 PM,065XX S CICERO AVE,0460,BATTERY,SIMPLE,OTHER,True,True,833,8.0,13.0,64.0,08B,1145510.0,1860910.0,2002,02/10/2018 03:50:01 PM,41.774327672,-87.742142692,"(41.774327672, -87.742142692)"
53272,8837588,HV510721,10/09/2012 09:30:00 AM,052XX W MADISON ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1522,15.0,28.0,25.0,06,1141512.0,1899523.0,2012,02/10/2018 03:50:01 PM,41.880362084,-87.755847438,"(41.880362084, -87.755847438)"
53273,1887116,G732320,12/06/2001 08:00:00 PM,063XX S LAFLIN ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,725,7.0,,,05,1167469.0,1862494.0,2001,08/17/2015 03:03:40 PM,41.778231935,-87.661599091,"(41.778231935, -87.661599091)"
53274,3089144,HJ811939,12/11/2003 07:00:00 AM,070XX S GREEN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,733,7.0,17.0,68.0,07,1171848.0,1858270.0,2003,02/28/2018 03:56:25 PM,41.766545786,-87.64566932,"(41.766545786, -87.64566932)"
53275,4835050,HM446205,06/29/2006 10:54:00 PM,091XX S WENTWORTH AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,634,6.0,21.0,49.0,26,1176553.0,1844365.0,2006,02/10/2018 03:50:01 PM,41.72828426,-87.628841084,"(41.72828426, -87.628841084)"
